"name","icao","iata","coordinates","cityName","countryName","airport"
"Tabriz International Airport","OITT","TBZ","38.133746 46.234846","Tabriz","Iran","http://fr.dbpedia.org/resource/Aéroport_international_de_Tabriz"
"Cap Skirring Airport","GOGS","CSK","12.393491 -16.746254","Cap Skirring","Senegal","http://fr.dbpedia.org/resource/Aéroport_de_Cap_Skirring"
"Vélizy – Villacoublay Air Base","LFPV","VIY","48.774279 2.191644",,,"http://fr.dbpedia.org/resource/Base_aérienne_107_Villacoublay"
"Hamburg Airport","EDDH","HAM","53.63212 9.988289","Hamburg",,"http://fr.dbpedia.org/resource/Aéroport_de_Hambourg"
"Cannon Air Force Base","KCVS","CVS","34.383077 -103.322296",,,"http://fr.dbpedia.org/resource/Cannon_Air_Force_Base"
"Fürstenfeldbruck Air Base","ETSF","FEL","48.204167 11.250833",,"Germany","http://fr.dbpedia.org/resource/Fürstenfeldbruck_Air_Base"
"Mountain Home Air Force Base","KMUO","MUO","43.043708 -115.872459",,,"http://fr.dbpedia.org/resource/Mountain_Home_Air_Force_Base"
"Nellis Air Force Base","KLSV","LSV","36.23652 -115.034151",,,"http://fr.dbpedia.org/resource/Nellis_Air_Force_Base"
"Holloman Air Force Base","KHMN","HMN","32.852697 -106.106386",,,"http://fr.dbpedia.org/resource/Holloman_Air_Force_Base"
"Shaw Air Force Base","KSSC","SSC","33.973047 -80.472772",,,"http://fr.dbpedia.org/resource/Shaw_Air_Force_Base"
"Dubai International Airport","OMDB","DXB","25.253623 55.364399","Dubai Municipality","United Arab Emirates","http://fr.dbpedia.org/resource/Aéroport_international_de_Dubaï"
"Libreville International Airport","FOOL","LBV","0.457902 9.412022","Libreville","Gabon","http://fr.dbpedia.org/resource/Aéroport_international_Léon_Mba"
,"LKPR","PRG","50.101643 14.26034","Prague",,"http://fr.dbpedia.org/resource/Aéroport_de_Prague-Václav_Havel"
"Sion Airport","LSGS","SIR","46.219366 7.326958","Sion, Switzerland","Switzerland","http://fr.dbpedia.org/resource/Aéroport_de_Sion"
"Yangon International Airport","VYYY","RGN","16.90722 96.132946",,,"http://fr.dbpedia.org/resource/Aéroport_international_de_Yangon"
"Mandalay International Airport","VYMD","MDL","21.705921 95.973902","Mandalay",,"http://fr.dbpedia.org/resource/Aéroport_international_de_Mandalay"
,"WIIJ","JOG","-7.787831 110.43191","Yogyakarta","Indonesia","http://fr.dbpedia.org/resource/Aéroport_international_Adisutjipto"
"Greater Moncton International Airport","CYQM","YQM","46.112932 -64.678745","New Brunswick","Canada","http://fr.dbpedia.org/resource/Aéroport_international_du_Grand_Moncton"
"Greater Moncton International Airport","CYQM","YQM","46.112932 -64.678745","Moncton","Canada","http://fr.dbpedia.org/resource/Aéroport_international_du_Grand_Moncton"
"Chongqing Jiangbei International Airport","ZUCK","CKG","29.719166666666666 106.64166666666667","Chongqing","China","http://fr.dbpedia.org/resource/Aéroport_international_de_Chongqing"
"Chongqing Jiangbei International Airport","ZUCK","CKG","29.72 106.64","Chongqing","China","http://fr.dbpedia.org/resource/Aéroport_international_de_Chongqing"
"Saint-Yan Airport","LFLN","SYT","46.40638888888889 4.021111111111111","Paray-le-Monial","France","http://fr.dbpedia.org/resource/Aéroport_de_Saint-Yan"
"Saint-Yan Airport","LFLN","SYT","46.40638888888889 4.021111111111111","Saint-Yan","France","http://fr.dbpedia.org/resource/Aéroport_de_Saint-Yan"
,"LFRM","LME","47.94915 0.201788","Le Mans","France","http://fr.dbpedia.org/resource/Aéroport_Le_Mans-Arnage"
,"MUHA","HAV","22.989167 -82.409167","Havana","Cuba","http://fr.dbpedia.org/resource/Aéroport_international_José_Martí"
"Eielson Air Force Base","PAEI","EIL","64.837006 -147.613678",,,"http://fr.dbpedia.org/resource/Eielson_Air_Force_Base"
"Andersen Air Force Base","PGUA","UAM","13.581111 144.924444",,,"http://fr.dbpedia.org/resource/Andersen_Air_Force_Base"
"Minot Air Force Base","KMIB","MIB","48.415758 -101.35746",,,"http://fr.dbpedia.org/resource/Minot_Air_Force_Base"
"Cape Town International Airport","FACT","CPT","-33.969444 18.597222","Cape Town","South Africa","http://fr.dbpedia.org/resource/Aéroport_international_du_Cap"
"Malmstrom Air Force Base","KGFA","GFA","47.505055 -111.187949",,,"http://fr.dbpedia.org/resource/Malmstrom_Air_Force_Base"
"Bauerfield International Airport","NVVV","VLI","-17.699183 168.31972","Port Vila","Vanuatu","http://fr.dbpedia.org/resource/Aéroport_international_Bauerfield"
"Martinique Aimé Césaire International Airport","TFFF","FDF","14.59081 -61.003046","Le Lamentin",,"http://fr.dbpedia.org/resource/Aéroport_international_Martinique_Aimé_Césaire"
"Bakel Airport","GOTB","BXE","14.847634 -12.468281","Bakel, Senegal","Senegal","http://fr.dbpedia.org/resource/Aérodrome_de_Bakel"
"Chennai International Airport","VOMM","MAA","12.994982 80.180497","Chennai","India","http://fr.dbpedia.org/resource/Aéroport_international_de_Chennai"
"Isle of Man Airport","EGNS","IOM","54.0827154 -4.6271292",,"United Kingdom","http://fr.dbpedia.org/resource/Aéroport_du_Ronaldsway"
"Saint-Louis Airport","GOSS","XLS","16.050833 -16.461111","Saint-Louis, Senegal","Senegal","http://fr.dbpedia.org/resource/Aéroport_de_Saint-Louis_(Sénégal)"
"Ziguinchor Airport","GOGG","ZIG","12.557328 -16.281481","Ziguinchor","Senegal","http://fr.dbpedia.org/resource/Aéroport_de_Ziguinchor"
"Tambacounda Airport","GOTT","TUD","13.736571 -13.653066","Tambacounda","Senegal","http://fr.dbpedia.org/resource/Aérodrome_de_Tambacounda"
"Kaolack Airport","GOOK","KLC","14.147104 -16.051369","Kaolack","Senegal","http://fr.dbpedia.org/resource/Aérodrome_de_Kaolack"
"Beale Air Force Base","KBAB","BAB","39.136452 -121.43652",,,"http://fr.dbpedia.org/resource/Beale_Air_Force_Base"
"Eglin Air Force Base","KVPS","VPS","30.488271 -86.526368",,,"http://fr.dbpedia.org/resource/Eglin_Air_Force_Base"
"Vilnius International Airport","EYVI","VNO","54.634167 25.285833","Vilnius","Lithuania","http://fr.dbpedia.org/resource/Aéroport_international_de_Vilnius"
"Dublin Airport","EIDW","DUB","53.432805 -6.255255","Dublin","Republic of Ireland","http://fr.dbpedia.org/resource/Aéroport_international_de_Dublin"
"Weeze Airport","EDLV","NRN","51.599973 6.150112","Weeze","Germany","http://fr.dbpedia.org/resource/Aéroport_de_Weeze"
"Plattsburgh International Airport","KPBG","PBG","44.650556 -73.468056","Plattsburgh (city), New York",,"http://fr.dbpedia.org/resource/Aéroport_international_de_Plattsburgh"
"Antwerp International Airport","EBAW","ANR","51.189444 4.460278","Antwerp","Belgium","http://fr.dbpedia.org/resource/Aéroport_d'Anvers"
"Antwerp International Airport","EBAW","ANR","51.189444 4.460278","Deurne, Belgium","Belgium","http://fr.dbpedia.org/resource/Aéroport_d'Anvers"
"Galileo Galilei Airport","LIRP","PSA","43.685005 10.392551","Pisa","Italy","http://fr.dbpedia.org/resource/Aéroport_international_Galileo_Galilei_de_Pise"
"Barra Airport (Scotland)","EGPR","BRR","57.026117 -7.451295","Barra","Scotland","http://fr.dbpedia.org/resource/Aéroport_de_Barra"
"Angads Airport","GMFO","OUD","34.787567 -1.923809","Oujda","Morocco","http://fr.dbpedia.org/resource/Aéroport_Oujda_-_Angad"
"Fes-Saïss Airport","GMFF","FEZ","33.927605 -4.978137","Fes","Morocco","http://fr.dbpedia.org/resource/Aéroport_Fès_-_Saïss"
"Tangier Ibn Battouta Airport","GMTT","TNG","35.728538 -5.916996","Tangier","Morocco","http://fr.dbpedia.org/resource/Aéroport_Tanger_-_Ibn_Battouta"
"Ouarzazate Airport","GMMZ","OZZ","30.93893 -6.90937","Ouarzazate","Morocco","http://fr.dbpedia.org/resource/Aéroport_de_Ouarzazate"
"Nador International Airport","GMMW","NDR","34.989011 -3.02845","Nador","Morocco","http://fr.dbpedia.org/resource/Aéroport_de_Nador_-_Al_Aroui"
,"GMME","RBA","34.051166 -6.75127","Rabat",,"http://fr.dbpedia.org/resource/Aéroport_international_de_Rabat-Salé"
,"GMME","RBA","34.051166 -6.75127","Salé",,"http://fr.dbpedia.org/resource/Aéroport_international_de_Rabat-Salé"
"Stockholm-Västerås Airport","ESOW","VST","59.590105 16.633215","Stockholm","Sweden","http://fr.dbpedia.org/resource/Aéroport_de_Stockholm-Västerås"
"Cherif Al Idrissi Airport","GMTA","AHU","35.176965 -3.839636",,"Morocco","http://fr.dbpedia.org/resource/Aéroport_Al_Hoceima_-_Cherif_Al_Idrissi"
"Abu Dhabi International Airport","OMAA","AUH","24.4371479 54.6478844","Abu Dhabi","United Arab Emirates","http://fr.dbpedia.org/resource/Aéroport_international_d'Abou_Dabi"
"Bristol Airport","EGGD","BRS","51.383379 -2.715468","Bristol",,"http://fr.dbpedia.org/resource/Aéroport_international_de_Bristol"
"Orio al Serio Airport","LIME","BGY","45.669335 9.704919","Milan","Italy","http://fr.dbpedia.org/resource/Aéroport_de_Bergame-Orio_al_Serio"
"Orio al Serio Airport","LIME","BGY","45.669335 9.704919","Bergamo","Italy","http://fr.dbpedia.org/resource/Aéroport_de_Bergame-Orio_al_Serio"
"Reykjavík Airport","BIRK","RKV","64.130383 -21.940298","Reykjavík",,"http://fr.dbpedia.org/resource/Aéroport_de_Reykjavik"
"Akureyri Airport","BIAR","AEY","65.660061 -18.072553","Akureyri",,"http://fr.dbpedia.org/resource/Aéroport_d'Akureyri"
,"EDDK","CGN","50.867674 7.143731","Cologne",,"http://fr.dbpedia.org/resource/Aéroport_Cologne/Bonn"
"Austin Straubel International Airport","KGRB","GRB","44.485545 -88.129706","Green Bay, Wisconsin",,"http://fr.dbpedia.org/resource/Aéroport_international_Austin_Straubel"
"Liverpool John Lennon Airport","EGGP","LPL","53.334076 -2.849665","Liverpool",,"http://fr.dbpedia.org/resource/Aéroport_de_Liverpool_John_Lennon"
,"LFBY","XDA","43.689166666666665 -1.068888888888889","Dax, Landes","France","http://fr.dbpedia.org/resource/Aérodrome_de_Dax_-_Seyresse"
,"LFRF","GFR","48.88151 -1.564221","Granville, Manche",,"http://fr.dbpedia.org/resource/Aéroport_de_Granville-Mont-Saint-Michel"
"Baden Airpark","EDSB","FKB","48.780062 8.081217","Karlsruhe",,"http://fr.dbpedia.org/resource/Aéroport_de_Karlsruhe_Baden-Baden"
,"LPPT","LIS","38.777172 -9.13496","Lisbon",,"http://fr.dbpedia.org/resource/Aéroport_de_Lisbonne-Portela"
"Bremen Airport","EDDW","BRE","53.04854 8.786402",,"Germany","http://fr.dbpedia.org/resource/Aéroport_de_Brême"
"Örnsköldsvik Airport","ESNO","OER","63.409584 18.99004","Örnsköldsvik",,"http://fr.dbpedia.org/resource/Aéroport_d'Örnsköldsvik"
"Galway Airport","EICM","GWY","53.3013 -8.941841","Galway","Republic of Ireland","http://fr.dbpedia.org/resource/Aéroport_de_Galway"
"Barksdale Air Force Base","KBAD","BAD","32.502198 -93.662782",,,"http://fr.dbpedia.org/resource/Barksdale_Air_Force_Base"
"Hill Air Force Base","KHIF","HIF","41.124075 -111.973085",,,"http://fr.dbpedia.org/resource/Hill_Air_Force_Base"
"Moody Air Force Base","KVAD","VAD","30.968631 -83.19294",,,"http://fr.dbpedia.org/resource/Moody_Air_Force_Base"
"Sunan International Airport","ZKPY","FNJ","39.222222 125.675944","Pyongyang","North Korea","http://fr.dbpedia.org/resource/Aéroport_international_de_Sunan"
"Girona-Costa Brava Airport","LEGE","GRO","41.900872 2.766752","Girona","Spain","http://fr.dbpedia.org/resource/Aéroport_de_Gérone-Costa_Brava"
"Rome Ciampino Airport","LIRA","CIA","41.800047 12.594666","Rome","Italy","http://fr.dbpedia.org/resource/Aéroport_international_de_Rome_Ciampino"
"MacDill Air Force Base","KMCF","MCF","27.849701 -82.5211",,,"http://fr.dbpedia.org/resource/MacDill_Air_Force_Base"
"Stuttgart Airport","EDDS","STR","48.690847 9.221649","Stuttgart",,"http://fr.dbpedia.org/resource/Aéroport_de_Stuttgart"
,"LIML","LIN","45.445319 9.276688","Milan",,"http://fr.dbpedia.org/resource/Aéroport_de_Milan-Linate"
"Berlin Schönefeld Airport","EDDB","SXF","52.383333 13.518611","Berlin",,"http://fr.dbpedia.org/resource/Aéroport_international_de_Berlin-Schönefeld"
"Berlin Brandenburg Airport","EDDB","BER","52.366667 13.503333","Berlin",,"http://fr.dbpedia.org/resource/Aéroport_de_Berlin-Brandenburg"
"Berlin Tegel Airport","EDDT","TXL","52.560647 13.28805","Berlin",,"http://fr.dbpedia.org/resource/Aéroport_de_Berlin-Tegel"
"Berlin Tempelhof Airport","EDDI","THF","52.473527 13.403835","Berlin",,"http://fr.dbpedia.org/resource/Aéroport_de_Berlin-Tempelhof"
"Bouaké Airport","DIBK","BYK","7.73908 -5.073624","Bouaké","Côte d'Ivoire","http://fr.dbpedia.org/resource/Aéroport_de_Bouaké"
"Brunei International Airport","DIBK","BWN","4.944565 114.928279","Bandar Seri Begawan","Brunei","http://fr.dbpedia.org/resource/Aéroport_international_de_Bandar_Seri_Begawan"
"Turin Caselle Airport","LIMF","TRN","45.197341 7.650089","Turin",,"http://fr.dbpedia.org/resource/Aéroport_Sandro-Pertini_de_Turin_Caselle"
"Bathurst Airport (New Brunswick)","CZBF","ZBF","47.630202 -65.73884","New Brunswick","Canada","http://fr.dbpedia.org/resource/Aéroport_de_Bathurst"
"Bathurst Airport (New Brunswick)","CZBF","ZBF","47.630202 -65.73884","Bathurst, New Brunswick","Canada","http://fr.dbpedia.org/resource/Aéroport_de_Bathurst"
,"LFPL","XLG","48.822237 2.622793","Lognes",,"http://fr.dbpedia.org/resource/Aérodrome_de_Lognes-Émerainville"
"Birmingham Airport","EGBB","BHX","52.45465 -1.748285","Birmingham",,"http://fr.dbpedia.org/resource/Aéroport_international_de_Birmingham_(Angleterre)"
"Palermo Airport","LICJ","PMO","38.177279 13.090725","Palermo","Italy","http://fr.dbpedia.org/resource/Aéroport_de_Palerme"
"Ashgabat Airport","UTAA","ASB","37.986944 58.360833","Ashgabat","Turkmenistan","http://fr.dbpedia.org/resource/Aéroport_d'Achgabat"
,"LIPZ","VCE","45.505866 12.351894","Venice",,"http://fr.dbpedia.org/resource/Aéroport_de_Venise-Marco_Polo"
"Toussus-le-Noble Airport","LFPN","TNF","48.749722222222225 2.111111111111111","Toussus-le-Noble",,"http://fr.dbpedia.org/resource/Aéroport_de_Toussus-le-Noble"
,"LUBL","BZY","47.838323 27.781398","Bălți","Moldova","http://fr.dbpedia.org/resource/Aéroport_international_de_Bălți-Leadoveni"
"Saarbrücken Airport","EDDR","SCN","49.215999 7.110214","Saarbrücken","Germany","http://fr.dbpedia.org/resource/Aéroport_de_Sarrebruck"
"Adnan Menderes Airport","LTBJ","ADB","38.293844 27.156572","Izmir",,"http://fr.dbpedia.org/resource/Aéroport_Adnan_Menderes"
"Dresden Airport","EDDC","DRS","51.133424 13.766985","Dresden","Germany","http://fr.dbpedia.org/resource/Aéroport_de_Dresde"
"Nuremberg Airport","EDDN","NUE","49.499183 11.06688","Nuremberg",,"http://fr.dbpedia.org/resource/Aéroport_de_Nuremberg"
"Hannover-Langenhagen Airport","EDDV","HAJ","52.461605 9.684963","Hanover",,"http://fr.dbpedia.org/resource/Aéroport_international_de_Hanovre_Langenhagen"
"Dayrestan Airport","OIKQ","GSM","26.751292 55.897804",,"Iran","http://fr.dbpedia.org/resource/Aéroport_Dayrestan"
"Salzburg Airport","LOWS","SZG","47.79413 13.004293","Salzburg",,"http://fr.dbpedia.org/resource/Aéroport_Wolfgang_Amadeus_Mozart_de_Salzbourg"
"Sana'a International Airport","OYSN","SAH","15.477215 44.219584","Sana'a","Yemen","http://fr.dbpedia.org/resource/Aéroport_international_El_Rahaba"
"Dortmund Airport","EDLW","DTM","51.518597 7.612109","Dortmund","Germany","http://fr.dbpedia.org/resource/Aéroport_de_Dortmund"
"Brasília International Airport","SBBR","BSB","-15.864632 -47.918072",,,"http://fr.dbpedia.org/resource/Aéroport_international_Presidente_Juscelino_Kubitschek"
"Rio de Janeiro-Galeão International Airport","SBGL","GIG","-22.807754 -43.249826","Rio de Janeiro","Brazil","http://fr.dbpedia.org/resource/Aéroport_international_de_Rio_de_Janeiro-Galeão"
"Gerald R. Ford International Airport","KGRR","GRR","42.881625 -85.522857","Grand Rapids, Michigan","United States","http://fr.dbpedia.org/resource/Gerald_R._Ford_International_Airport"
"Jorge Wilstermann International Airport","SLCB","CBB","-17.420833333333334 -66.17694444444444","Cochabamba","Bolivia","http://fr.dbpedia.org/resource/Aéroport_international_Jorge_Wilstermann"
"Canberra International Airport","YSCB","CBR","-35.30595 149.194937","Canberra","Australia","http://fr.dbpedia.org/resource/Aéroport_de_Canberra"
,"VECC","CCU","22.655443 88.446679","Kolkata","India","http://fr.dbpedia.org/resource/Aéroport_international_Netaji-Subhash-Chandra-Bose"
"Vágar Airport","EKVG","FAE","62.063611 -7.277222","Vágar",,"http://fr.dbpedia.org/resource/Aéroport_de_Vágar"
"Mactan-Cebu International Airport","RPVM","CEB","10.313333 123.982778","Cebu City","Philippines","http://fr.dbpedia.org/resource/Aéroport_international_de_Mactan-Cebu"
"Mactan-Cebu International Airport","RPVM","CEB","10.313333 123.982778","Mandaue","Philippines","http://fr.dbpedia.org/resource/Aéroport_international_de_Mactan-Cebu"
"Heraklion International Airport","LGIR","HER","35.339949 25.176952","Heraklion","Greece","http://fr.dbpedia.org/resource/Aéroport_international_d'Héraklion_Níkos-Kazantzákis"
"Conakry International Airport","GUCY","CKY","9.576889 -13.611961","Conakry","Guinea","http://fr.dbpedia.org/resource/Aéroport_international_de_Conakry"
"Split Airport","LDSP","SPU","43.538749 16.299419","Split, Croatia",,"http://fr.dbpedia.org/resource/Aéroport_de_Split"
"Dubrovnik Airport","LDDU","DBV","42.562184 18.265028","Dubrovnik","Croatia","http://fr.dbpedia.org/resource/Aéroport_de_Dubrovnik"
"Cleveland Hopkins International Airport","KCLE","CLE","41.412093 -81.849861","Cleveland","United States","http://fr.dbpedia.org/resource/Aéroport_international_de_Cleveland-Hopkins"
,"LFGA","CMR","48.110325 7.359166","Colmar","France","http://fr.dbpedia.org/resource/Aéroport_de_Colmar_-_Houssen"
"Annecy – Haute-Savoie – Mont Blanc Airport","LFLP","NCY","45.929379 6.098871","Annecy","France","http://fr.dbpedia.org/resource/Aéroport_d'Annecy_Haute-Savoie_Mont-Blanc"
"Megève Aerodrome","LFHM","MVV","45.82225 6.64999","Megève",,"http://fr.dbpedia.org/resource/Altiport_de_Megève"
"Courchevel Airport","LFLJ","CVF","45.397516 6.634347","Courchevel",,"http://fr.dbpedia.org/resource/Altiport_de_Courchevel"
"Mihail Kogălniceanu International Airport","LRCK","CND","44.362222 28.488333","Constanța","Romania","http://fr.dbpedia.org/resource/Aéroport_international_Mihail_Kogălniceanu"
"Cairns Airport","YBCS","CNS","-16.874722 145.752222","Cairns","Australia","http://fr.dbpedia.org/resource/Aéroport_international_de_Cairns"
,"LFNB","MEN","44.504617 3.527427","Mende, Lozère",,"http://fr.dbpedia.org/resource/Aérodrome_de_Mende_-_Brenoux"
,"LFNB","MEN","44.504617 3.527427","Brenoux",,"http://fr.dbpedia.org/resource/Aérodrome_de_Mende_-_Brenoux"
"Zadar Airport","LDZD","ZAD","44.109344 15.34687","Zadar",,"http://fr.dbpedia.org/resource/Aéroport_de_Zadar"
"Pula Airport","LDPL","PUY","44.894127 13.922253","Pula",,"http://fr.dbpedia.org/resource/Aéroport_de_Pula"
"Rijeka Airport","LDRI","RJK","45.217508 14.57036","Rijeka","Croatia","http://fr.dbpedia.org/resource/Aéroport_de_Rijeka"
"Gander International Airport","CYQX","YQX","48.93764 -54.568105","Newfoundland (island)","Canada","http://fr.dbpedia.org/resource/Aéroport_international_de_Gander"
"Gander International Airport","CYQX","YQX","48.93764 -54.568105","Gander, Newfoundland and Labrador","Canada","http://fr.dbpedia.org/resource/Aéroport_international_de_Gander"
,"OEJN","JED","21.681198 39.156389","Jeddah","Saudi Arabia","http://fr.dbpedia.org/resource/Aéroport_international_Roi-Abdelaziz"
,"LFMQ","CTT","43.25225 5.786","Le Castellet, Var",,"http://fr.dbpedia.org/resource/Aéroport_du_Castellet"
"Hato International Airport","TNCC","CUR","12.184722 -68.958333","Willemstad",,"http://fr.dbpedia.org/resource/Aéroport_international_Hato"
"Alejandro Velasco Astete International Airport","SPZO","CUZ","-13.535722 -71.938781","Cusco","Peru","http://fr.dbpedia.org/resource/Aéroport_international_Alejandro_Velasco_Astete"
"Barcelona El Prat Airport","LEBL","BCN","41.296944 2.078333","El Prat de Llobregat","Spain","http://fr.dbpedia.org/resource/Aéroport_international_de_Barcelone-El_Prat"
"Lehigh Valley International Airport","KABE","ABE","40.652333 -75.440472","Allentown, Pennsylvania","United States","http://fr.dbpedia.org/resource/Aéroport_d'Allentown-Bethlehem-Easton"
"Albuquerque International Sunport","KABQ","ABQ","35.040327 -106.609354","New Mexico","United States","http://fr.dbpedia.org/resource/Aéroport_international_d'Albuquerque"
"Albuquerque International Sunport","KABQ","ABQ","35.040327 -106.609354","Albuquerque, New Mexico","United States","http://fr.dbpedia.org/resource/Aéroport_international_d'Albuquerque"
"Antrim County Airport","KACB","ACB","44.988611 -85.198333","Bellaire, Michigan",,"http://fr.dbpedia.org/resource/Aéroport_du_comté_d'Antrim"
,"LFQJ","XME","50.30833333333333 4.03","Maubeuge","France","http://fr.dbpedia.org/resource/Aérodrome_de_Maubeuge_-_Élesmes"
,"WAAA","UPG","-5.061631 119.554042","Makassar",,"http://fr.dbpedia.org/resource/Aéroport_international_Sultan_Hasanuddin"
"La Môle – Saint-Tropez Airport","LFTZ","LTT","43.20455 6.47584","La Môle",,"http://fr.dbpedia.org/resource/Aéroport_de_La_Môle_-_Saint-Tropez"
"Joint Base Andrews","KADW","ADW","38.811289 -76.867046",,,"http://fr.dbpedia.org/resource/Andrews_Air_Force_Base"
"Canefield Airport","TDCF","DCF","15.336667 -61.392222",,"Dominica","http://fr.dbpedia.org/resource/Aéroport_de_Canefield"
"Osijek Airport","LDOS","OSI","45.463803 18.810568","Osijek",,"http://fr.dbpedia.org/resource/Aéroport_d'Osijek"
"Damascus International Airport","OSDI","DAM","33.411669 36.515594","Damascus","Syria","http://fr.dbpedia.org/resource/Aéroport_international_de_Damas"
"Malta International Airport","LMML","MLA","35.857544 14.477406","Luqa","Malta","http://fr.dbpedia.org/resource/Aéroport_international_de_Malte"
"Gabès – Matmata International Airport","DTTG","GAE","33.736746 9.918023","Gabès","Tunisia","http://fr.dbpedia.org/resource/Aéroport_de_Gabès-Matmata"
"Mogador Airport","GMMI","ESU","31.398191 -9.681702","Essaouira","Morocco","http://fr.dbpedia.org/resource/Aéroport_Essaouira_-_Mogador"
"Hassan I Airport","GSAI","EUN","27.153656 -13.218248","El Aaiún","Western Sahara","http://fr.dbpedia.org/resource/Aéroport_international_Laâyoune_-_Hassan_Ier"
"Rodríguez Ballón International Airport","OACI","AQP","-16.340278 -71.573056","Arequipa",,"http://fr.dbpedia.org/resource/Aéroport_Rodriguez_Ballon"
"La Macaza – Mont Tremblant International Airport","CYFJ","YTM","46.410138 -74.780159","Mont-Tremblant, Quebec",,"http://fr.dbpedia.org/resource/Aéroport_international_de_Mont-Tremblant"
"San Pablo Airport","LEZL","SVQ","37.419118 -5.897641","Seville",,"http://fr.dbpedia.org/resource/Aéroport_de_Séville"
,"LEMG","AGP","36.677024 -4.498043",,,"http://fr.dbpedia.org/resource/Aéroport_de_Malaga-Costa_del_Sol"
"Silvio Pettirossi International Airport","SGAS","ASU","-25.23985 -57.519133","Asunción","Paraguay","http://fr.dbpedia.org/resource/Aéroport_international_Silvio_Pettirossi"
"Sri Guru Ram Dass Jee International Airport","VIAR","ATQ","31.707778 74.799167","Amritsar",,"http://fr.dbpedia.org/resource/Aéroport_international_de_Raja_Sansi"
"Queen Beatrix International Airport","TNCA","AUA","12.501389 -70.015278","Oranjestad, Aruba",,"http://fr.dbpedia.org/resource/Aéroport_international_Reine-Beatrix"
"Chambéry Airport","LFLB","CMF","45.637987 5.881634","Chambéry",,"http://fr.dbpedia.org/resource/Aéroport_de_Chambéry_-_Savoie"
"Shuttle Landing Facility","KTTS","TTS","28.61798 -80.695953","Titusville, Florida","United States","http://fr.dbpedia.org/resource/Shuttle_Landing_Facility"
"Shirak Airport","UDSG","LWN","40.751223 43.858967","Gyumri","Armenia","http://fr.dbpedia.org/resource/Aéroport_international_Shirak"
"Friuli Venezia Giulia Airport","LIPQ","TRS","45.4939 13.282","Trieste","Italy","http://fr.dbpedia.org/resource/Aéroport_du_Frioul-Vénétie_julienne"
"Baltimore/Washington International Thurgood Marshall Airport","KBWI","BWI","39.176917 -76.670022","Baltimore","United States","http://fr.dbpedia.org/resource/Aéroport_international_Thurgood_Marshall_de_Baltimore-Washington"
"Bradley International Airport","KBDL","BDL","41.938889 -72.683333","Windsor Locks, Connecticut","United States","http://fr.dbpedia.org/resource/Aéroport_international_Bradley"
"Tampa International Airport","KTPA","TPA","27.975556 -82.533333","Tampa, Florida","United States","http://fr.dbpedia.org/resource/Aéroport_international_de_Tampa"
"Sharm el-Sheikh International Airport","HESH","SSH","27.978068 34.394674","Sharm el-Sheikh",,"http://fr.dbpedia.org/resource/Aéroport_international_de_Charm_el-Cheikh"
,"LFLO","RNE","46.052669 4.002221","Roanne",,"http://fr.dbpedia.org/resource/Aéroport_de_Roanne-Renaison"
"Comodoro Arturo Merino Benítez International Airport","SCEL","SCL","-33.391893 -70.785942","Santiago","Chile","http://fr.dbpedia.org/resource/Aéroport_international_Arturo_Merino_Benítez"
"Mataveri International Airport","SCIP","IPC","-27.164347 -109.421661","Hanga Roa","Chile","http://fr.dbpedia.org/resource/Aéroport_international_Mataveri"
"Louisville International Airport","KSDF","SDF","38.174344 -85.736232","Louisville, Kentucky","United States","http://fr.dbpedia.org/resource/Aéroport_international_de_Louisville"
"Hilo International Airport","PHTO","ITO","19.720278 -155.048333","Hawaii",,"http://fr.dbpedia.org/resource/Aéroport_international_d'Hilo"
"Hilo International Airport","PHTO","ITO","19.720278 -155.048333","Hilo, Hawaii",,"http://fr.dbpedia.org/resource/Aéroport_international_d'Hilo"
"Hilo International Airport","PHTO","ITO","19.720278 -155.048333","Hawaii County, Hawaii",,"http://fr.dbpedia.org/resource/Aéroport_international_d'Hilo"
"Paro Airport","VQPR","PBH","27.403814 89.424591",,"Bhutan","http://fr.dbpedia.org/resource/Aéroport_international_de_Paro"
"St. Gallen-Altenrhein Airport","LSZR","ACH","47.485338 9.560702","St. Gallen","Switzerland","http://fr.dbpedia.org/resource/Aéroport_international_Saint-Gall-Altenrhein"
"Bangor International Airport","KBGR","BGR","44.807222 -68.828056","Bangor, Maine","United States","http://fr.dbpedia.org/resource/Aéroport_international_de_Bangor"
"Harare International Airport","FVHA","HRE","-17.931907 31.092854","Harare","Zimbabwe","http://fr.dbpedia.org/resource/Aéroport_international_d'Harare"
"South Bimini Airport","MYBS","BIM","25.700087 -79.264812",,,"http://fr.dbpedia.org/resource/Aéroport_international_de_South_Bimini"
"Banjul International Airport","GBYD","BJL","13.338555 -16.652226","Banjul","The Gambia","http://fr.dbpedia.org/resource/Aéroport_international_de_Banjul"
"Oulu Airport","EFOU","OUL","64.929689 25.354815","Oulu","Finland","http://fr.dbpedia.org/resource/Aéroport_d'Oulu"
"Rovaniemi Airport","EFRO","RVN","66.565405 25.830402","Rovaniemi","Finland","http://fr.dbpedia.org/resource/Aéroport_de_Rovaniemi"
"Tampere-Pirkkala Airport","EFTP","TMP","61.414342 23.604126","Tampere","Finland","http://fr.dbpedia.org/resource/Aéroport_de_Tampere-Pirkkala"
