"name","icao","iata","coordinates","cityName","countryName","airport"
"Kortrijk-Wevelgem International Airport","EBKT","KJK","50.818164 3.207107","Wevelgem","Belgium","http://fr.dbpedia.org/resource/Aéroport_de_Courtrai"
"Honningsvåg Airport, Valan","ENHV","HVG","71.0035 25.5901","Nordkapp","Norway","http://fr.dbpedia.org/resource/Aéroport_de_Honningsvåg"
"Cardiff Airport","EGFF","CWL","51.396667 -3.343333","Cardiff","United Kingdom","http://fr.dbpedia.org/resource/Aéroport_international_de_Cardiff"
"Poznań-Ławica Airport","EPPO","POZ","52.42111111 16.82638889","Poznań","Poland","http://fr.dbpedia.org/resource/Aéroport_Henryk_Wieniawski_de_Poznań"
"Aboisso Airport","DIAO","ABO","5.433056 -3.266667","Aboisso","Côte d'Ivoire","http://fr.dbpedia.org/resource/Aéroport_d'Aboisso"
"Alpha Airport","YAPH","ABH","-23.646111 146.583611","Alpha, Queensland","Australia","http://fr.dbpedia.org/resource/Aéroport_d'Alpha"
"Ambler Airport","PAFM","ABL","67.1063139 -157.8574722","Ambler, Alaska","United States","http://fr.dbpedia.org/resource/Aéroport_d'Ambler"
"Aberdeen Regional Airport","KABR","ABR","45.448278 -98.42275","Aberdeen, South Dakota","United States","http://fr.dbpedia.org/resource/Aéroport_régional_d'Aberdeen"
"Michel-Pouliot Gaspé Airport","CYGP","YGP","48.77527777777778 -64.47972222222222","Gaspé, Quebec",,"http://fr.dbpedia.org/resource/Aéroport_Michel_Pouliot_de_Gaspé"
"Michel-Pouliot Gaspé Airport","CYGP","YGP","48.830066 -64.481755","Gaspé, Quebec",,"http://fr.dbpedia.org/resource/Aéroport_Michel_Pouliot_de_Gaspé"
"Michel-Pouliot Gaspé Airport","CYGP","YGP","48.77527777777778 -64.47972222222222","Quebec",,"http://fr.dbpedia.org/resource/Aéroport_Michel_Pouliot_de_Gaspé"
"Michel-Pouliot Gaspé Airport","CYGP","YGP","48.830066 -64.481755","Quebec",,"http://fr.dbpedia.org/resource/Aéroport_Michel_Pouliot_de_Gaspé"
"Al-Baha Domestic Airport","OEBA","ABT","20.296056 41.634278","Al Bahah","Saudi Arabia","http://fr.dbpedia.org/resource/Aéroport_d'Al_Bahah"
"Nnamdi Azikiwe International Airport","DNAA","ABV","9.00667 7.26306","Abuja","Nigeria","http://fr.dbpedia.org/resource/Aéroport_international_Nnamdi_Azikiwe"
"Albury Airport","YMAY","ABX","-36.067778 146.958056","Albury","Australia","http://fr.dbpedia.org/resource/Aéroport_d'Albury"
"Southwest Georgia Regional Airport","KABY","ABY","31.532092 -84.188919","Albany, Georgia","United States","http://fr.dbpedia.org/resource/Aéroport_d'Albany"
"General Juan N. Álvarez International Airport","MMAA","ACA","16.756944 -99.753889","Acapulco","Mexico","http://fr.dbpedia.org/resource/Aéroport_international_général_Juan_N._Álvarez"
"Luang Prabang International Airport","VLLB","LPQ","19.897222 102.160833","Luang Prabang","Laos","http://fr.dbpedia.org/resource/Aéroport_international_de_Luang_Prabang"
,"ESNN","SDL","62.528056 17.443889","Timrå Municipality","Sweden","http://fr.dbpedia.org/resource/Aéroport_de_Sundsvall-Timrå"
"Gdańsk Lech Wałęsa Airport","EPGD","GDN","54.3775 18.466111","Gdańsk","Poland","http://fr.dbpedia.org/resource/Aéroport_Lech_Wałęsa_de_Gdańsk"
"Seymour Airport","SEGS","GPS","-0.4462 -90.2714",,"Ecuador","http://fr.dbpedia.org/resource/Aéroport_Seymour"
"San Cristóbal Airport","SEST","SCY","-0.910278 -89.6175",,"Ecuador","http://fr.dbpedia.org/resource/Aéroport_de_San_Cristóbal"
"Cocos (Keeling) Islands Airport","YPCC","CCK","-12.188333 96.833889","West Island, Cocos (Keeling) Islands",,"http://fr.dbpedia.org/resource/Aéroport_des_îles_Cocos"
"Muan International Airport","RKJB","MWX","34.991406 126.382814","Gwangju","South Korea","http://fr.dbpedia.org/resource/Aéroport_international_de_Muan"
