KSD,"Karlstad central railway station, Karlstad, Sweden (17 km from the airport)","Gare de Karlstad, Karlstad, Suède (à 17 km de l'aéroport)",Karlstad central railway station,Gare centrale de Karlstad,Karlstad,Karlstad,,Sweden,,https://tools.wmflabs.org/geohack/geohack.php?pagename=Karlstad_central_railway_station&params=59_22_41_N_13_29_56_E_E_type:railwaystation_region:SE,59.378102,13.498992,A
KVN,"Kunshan South Railway Station, Kunshan City, Jiangsu, China","Kunshan South Railway Station, Kunshan City, Jiangsu, China",Kunshan South Railway Station,Gare de Karlstad,Kunshan City,Kunshan City,Jiangsu,China,http://en.wikipedia.org/wiki/Kunshan_South_Railway_Station,http://tools.wmflabs.org/geohack/geohack.php?pagename=Kunshan_South_Railway_Station&params=31_21_18_N_120_56_47_E_region:CN-32_type:railwaystation,31.355,120.946389
LEJ,"Leipzig/Halle Airport railway station, Germany (walking distance from the airport)","Gare ferrovaire de l'aéroport de Leipzig/Halle, Schkeuditz, Allemagne",Leipzig/Halle Airport railway station,Gare ferrovaire de l'aéroport de Leipzig/Halle,Schkeuditz,Schkeuditz,,Germany,http://en.wikipedia.org/wiki/Leipzig/Halle_Airport_station,http://tools.wmflabs.org/geohack/geohack.php?pagename=Leipzig%2FHalle_Airport_station&params=51_25_24_N_12_13_21_E_,51.423333,12.2225,A
LHR,"London Heathrow railway stations (Central, T1,2,3, T4 tube, T4 rail, T5 -- all inside London Heathrow Airport perimeter), London, United Kingdom","Gares de l'aéroport de Londres-Heathrow, Londres, Angleterre",London Heathrow railway stations,Gares de l'aéroport de Londres Heathrow,London,Londres,England,United Kingdom,http://en.wikipedia.org/wiki/Heathrow_Central_railway_station,http://tools.wmflabs.org/geohack/geohack.php?pagename=Heathrow_Central_railway_station&params=51.471_N_-0.454_E_type:railwaystation_region:GB,51.471,-0.454,A
LGW,"Gatwick Airport railway station, London, United Kingdom","Gare de l'aéroport de Londres Gatwick, Londres, Angleterre",Gatwick Airport railway station,Gare de l'aéroport de Londres Gatwick,London,Londres,England,United Kingdom,http://en.wikipedia.org/wiki/Gatwick_Airport_railway_station,http://tools.wmflabs.org/geohack/geohack.php?pagename=Gatwick_Airport_railway_station&params=51.1565_N_-0.1609_E_type:railwaystation_region:GB-ENG,51.1565,-0.1609,A
LPI,"Linköping central railway station, Sweden (3 km from the airport)","Gare centrale de Linköping, Linköping, Sweden (à 3 km de l'aéroport)",Linköping central railway station,Gare centrale de Linköping,Linköping,Linköping,,Sweden,http://en.wikipedia.org/wiki/Link%C3%B6ping_Central_Station,http://tools.wmflabs.org/geohack/geohack.php?pagename=Link%C3%B6ping_Central_Station&params=58_24_58_N_15_37_36_E_type:railwaystation_region:SE,58.416111,15.626667,A
LPL,"Liverpool Lime Street railway station, Liverpool, United Kingdom","Gare de Liverpool Lime Street, Liverpool, Royaume uni",Gare de Liverpool Lime Street,Gare de Liverpool Lime Street,Liverpool,Liverpool,,United Kingdom,http://en.wikipedia.org/wiki/Liverpool_Lime_Street_railway_station,https://tools.wmflabs.org/geohack/geohack.php?pagename=Liverpool_Lime_Street_railway_station&params=53_24_26_N_2_58_39_W_type:railwaystation_region:GB-ENG,53.4073416,-2.9777013,A
LYS,"Gare de Lyon-Saint-Exupéry TGV, Lyon, France",Gare de Lyon-Saint-Exupéry TGV,Lyon-Saint-Exupéry Railway station,Gare de Lyon-Saint-Exupéry,Lyon,Lyon,Rhône Alpes,France,http://fr.wikipedia.org/wiki/Gare_de_Lyon-Saint-Exup%C3%A9ry_TGV,http://tools.wmflabs.org/geohack/geohack.php?language=en&pagename=Gare_de_Lyon-Saint-Exup%C3%A9ry_TGV&params=45.7209522567_N_5.07594108581_E_type:railwaystation_region:FR-V,45.720952,5.075941,A
MAN,"Manchester Airport railway station, Manchester, England, United Kingdom","Gare ferrovaire de l'aéroport de Manchester, Manchester, England, United Kingdom",Manchester Airport railway station,Gare ferrovaire de l'aéroport de Manchester,Manchester,Manchester,England,United Kingdom,http://en.wikipedia.org/wiki/Manchester_Airport_station,https://tools.wmflabs.org/geohack/geohack.php?pagename=Manchester_Airport_railway_station&params=53_21_54_N_2_16_23_W_type:airport_region:GB-MAN,53.3651999,-2.2731117,A
MHG,"Mannheim Hauptbahnhof, Mannheim, Germany","Mannheim Hauptbahnhof, Mannheim, Germany",Mannheim Hauptbahnhof,Gare centrale de Mannheim,Mannheim,Mannheim,Baden-Württemberg,Germany,http://en.wikipedia.org/wiki/Mannheim_Hauptbahnhof,http://tools.wmflabs.org/geohack/geohack.php?pagename=Mannheim_Hauptbahnhof&params=49_28_47_N_8_28_11_E_region:DE-BW_type:railwaystation_source:dewiki,49.479722,8.469722,A
NCL,"Newcastle railway station, Newcastle, England, United Kingdom","Newcastle railway station, Newcastle, England, United Kingdom",Newcastle railway station,Gare de Newcastle,Newcastle,Newcastle,England,United Kingdom,http://en.wikipedia.org/wiki/Newcastle_railway_station,http://tools.wmflabs.org/geohack/geohack.php?pagename=Newcastle_railway_station&params=54.9686_N_-1.6171_E_type:railwaystation_region:GB,54.9686,-1.6171,A
NKJ,"Nanjing South Railway Station, Nanjing, Jiangsu, China","Gare de Nanjing South, Nanjing, Jiangsu, Chine",Nanjing South Railway Station,Gare de Nanjing sud,Nanjing,Nanjing,Jiangsu,China,http://en.wikipedia.org/wiki/Nanjing_South_Railway_Station,http://tools.wmflabs.org/geohack/geohack.php?pagename=Nanjing_South_Railway_Station&params=31_58_14_N_118_47_33_E_region:CN-32_type:railwaystation,31.970556,118.7925
OSD,"Östersund Central Station, Östersund, Sweden (9 km from the airport)","Gare centrale de Östersund, Östersund, Suède (à 9 km de l'aéroport)",Östersund Central Station,Gare centrale de Östersund,Östersund,Östersund,,Sweden,http://en.wikipedia.org/wiki/%C3%96stersund_Central_Station,http://tools.wmflabs.org/geohack/geohack.php?pagename=%C3%96stersund_Central_Station&params=63_10_13_N_14_38_16_E_region:CN-32_type:railwaystation_region:SE,63.1705425,14.637898,A
OSL,"Oslo Airport Station, Oslo, Norway (walking distance from the airport)","Gare ferrovaire de l'aéroport d'Oslo, Oslo, Norvège (à distance de marche de l'aéroport)",Oslo Airport Station,Gare ferrovaire de l'aéroport d'Oslo,Oslo,Oslo,,Norway,http://en.wikipedia.org/wiki/Oslo_Airport_Station,http://tools.wmflabs.org/geohack/geohack.php?pagename=Oslo_Airport_Station&params=60_11_38_N_11_06_02_E_type:airport_region:SJ,60.193889,11.100556,A
PIK,"Glasgow Prestwick Airport railway station, Scotland, United Kingdom","Gare ferrovaire de l'aéroport de Glasgow-Prestwick, Glasgow, Ecosse, Royaume Uni",Prestwick Airport railway station,Gare ferrovaire de l'aéroport de Prestwick,Glasgow,Glasgow,Scotland,United Kingdom,http://en.wikipedia.org/wiki/Glasgow_Prestwick_Airport_railway_station,http://tools.wmflabs.org/geohack/geohack.php?pagename=Glasgow_Prestwick_Airport_railway_station&params=55.5090_N_-4.6141_E_type:railwaystation_region:GB-SCT,55.509,-4.6141,A
QDH,"Ashford International railway station, Ashford, Kent, United Kingdom","Gare d'Ashford International, Kent, Angleterre",Ashford International railway station,Gare d'Ashford International,Ashford,Ashford,Angleterre,United Kingdom,http://en.wikipedia.org/wiki/Ashford_International_railway_station,http://tools.wmflabs.org/geohack/geohack.php?pagename=Ashford_International_railway_station&params=51.1436_N_0.87448_E_type:railwaystation_region:GB,51.1436,0.87448
QDU,"Düsseldorf Hauptbahnhof, Düsseldorf, Germany","Gare centrale de Düsseldorf, Allemagne",Düsseldorf Hauptbahnhof,Gare centrale de Düsseldorf,Düsseldorf,Düsseldorf,North Rhine-Westphalia,Germany,http://en.wikipedia.org/wiki/D%C3%BCsseldorf_Hauptbahnhof,http://tools.wmflabs.org/geohack/geohack.php?pagename=D%C3%BCsseldorf_Hauptbahnhof&params=51_13_13_N_6_47_34_E_region:DE-NW_type:railwaystation,51.220278,6.792778
QFB,"Freiburg Hauptbahnhof, Freiburg, Germany","Gare centrale de Fribourg, Allemagne",Freiburg Hauptbahnhof,Gare centrale de Fribourg,Freiburg,Fribourg-en-Brisgau,Baden-Württemberg,Germany,http://en.wikipedia.org/wiki/Freiburg_Hauptbahnhof,http://tools.wmflabs.org/geohack/geohack.php?pagename=Freiburg_Hauptbahnhof&params=47_59_52_N_7_50_31_E_region:DE-BW_type:railwaystation,47.997778,7.841944
QFV,"Bergen railway station, Norway","Gare de Bergen, Norvège",Bergen railway station,Gare de Bergen,Bergen,Bergen,,Norway,http://en.wikipedia.org/wiki/Bergen_Station,http://tools.wmflabs.org/geohack/geohack.php?pagename=Bergen_Station&params=60_23_25_N_5_19_59_E_type:railwaystation_region:NO,60.390278,5.333056
QJZ,"Nantes Railway station, France","Gare de Nantes, France",Nantes Railway station,Gare de Nantes,Nantes,Nantes,Pays de Loire,France,http://en.wikipedia.org/wiki/Gare_de_Nantes,http://tools.wmflabs.org/geohack/geohack.php?pagename=Gare_de_Nantes&params=47_13_0_N_1_32_30_W_type:railwaystation_region:FR,47.216667,-1.541667
QKL,"Köln Hauptbahnhof, Köln, Germany","Gare centrale de Cologne, Allemagne",Cologne central main station,Gare centrale de Cologne,Cologne,Cologne,,Germany,http://en.wikipedia.org/wiki/K%C3%B6ln_Hauptbahnhof,http://tools.wmflabs.org/geohack/geohack.php?pagename=K%C3%B6ln_Hauptbahnhof&params=50_56_33_N_6_57_29_E_region:DE-NW_type:railwaystation,50.9425,6.958056
QLJ,"Lucerne railway station, Lucerne, Switzerland","Gare de Lucerne, Lucerne, Suisse",Lucerne railway station,Gare de Lucerne,Lucerne,Lucerne,Lucerne,Switzerland,http://en.wikipedia.org/wiki/Lucerne_railway_station,http://tools.wmflabs.org/geohack/geohack.php?pagename=Lucerne_railway_station&params=47_2_56_N_8_18_38_E_region:CH-LU_type:railwaystation_source:dewiki,3.134,101.686
QLS,"Lausanne railway station, Lausanne, Switzerland","Gare de Lausanne, Lausanne, Suisse",Lauzanne Railway station,Gare de Lausanne,Lausanne,Lausanne,Vaud,Switzerland,http://en.wikipedia.org/wiki/Lausanne_railway_station,http://tools.wmflabs.org/geohack/geohack.php?pagename=Lausanne_railway_station&params=46_30_59_N_06_37_45_E_type:railwaystation_region:CH-VD,46.516389,6.629167
QPP,"Berlin Hauptbahnhof, Berlin, Germany","Gare centrale de Berlin, Berlin, Allemagne",Berlin Central station,Gare centrale de Berlin,Berlin,Berlin,Berlin,Germany,http://en.wikipedia.org/wiki/Berlin_Hauptbahnhof,http://tools.wmflabs.org/geohack/geohack.php?pagename=Berlin_Hauptbahnhof&params=52.52493_N_13.369181_E_region:DE-BE_type:railwaystation,52.52493,13.369181
QQK,"King's Cross railway station, London, United Kingdom","Gare de King's Cross, Londres, Angleterre, Royaume uni",King's Cross railway station,Gare de King's Cross,London,Londres,England,United Kingdom,http://en.wikipedia.org/wiki/London_King%27s_Cross_railway_station,http://tools.wmflabs.org/geohack/geohack.php?pagename=London_King%27s_Cross_railway_station&params=51.5309_N_-0.1233_E_type:railwaystation_region:GB-ENG,51.5309,-0.1233
QQM,"Manchester Piccadilly station, Manchester, United Kingdom","Gare de Manchester Piccadilly, Manchester, Angleterre, Royaume uni",Manchester Piccadilly station,Gare de Manchester Piccadilly,Manchester,Manchester,England,United Kingdom,http://en.wikipedia.org/wiki/Manchester_Piccadilly_station,http://tools.wmflabs.org/geohack/geohack.php?pagename=Manchester_Piccadilly_station&params=53.477_N_-2.230_E_type:railwaystation_region:GB-ENG,53.477,-2.23
QQN,"Birmingham New Street railway station, Birmingham, United Kingdom","Gare de Birmingham New Street, Birmingham, Angleterre, Royaume uni",Birmingham New Street railway station,Gare de Birmingham New Street,Birmingham,Birmingham,England,United Kingdom,http://en.wikipedia.org/wiki/Birmingham_New_Street_railway_station,http://tools.wmflabs.org/geohack/geohack.php?pagename=Birmingham_New_Street_railway_station&params=52.47777_N_-1.89885_E_type:railwaystation_region:GB-ENG_scale:10000,52.47777,-1.89885
QQP,"Paddington railway station, London, United Kingdom","Gare de Paddington, Londres, Angleterre, Royaume uni",Paddington railway station,Gare de Paddington,London,Londres,England,United Kingdom,http://en.wikipedia.org/wiki/London_Paddington_station,http://tools.wmflabs.org/geohack/geohack.php?pagename=London_Paddington_station&params=51.5173_N_-0.1774_E_type:railwaystation_region:GB-ENG,51.5173,-0.1774
QQS,"St Pancras railway station, London, United Kingdom","Gare de St Pancras, Londres, Angleterre, Royaume uni",St Pancras railway station,Gare de St Pancras,London,Londres,England,United Kingdom,http://en.wikipedia.org/wiki/St_Pancras_railway_station,http://tools.wmflabs.org/geohack/geohack.php?pagename=St_Pancras_railway_station&params=51.530_N_-0.125_E_type:railwaystation_region:GB-ENG,51.53,-0.125
QQU,"Euston railway station, London, United Kingdom","Gare de Euston, Londres, Angleterre, Royaume uni",Euston railway station,Gare de Euston,London,Londres,England,United Kingdom,http://en.wikipedia.org/wiki/Euston_railway_station,http://tools.wmflabs.org/geohack/geohack.php?pagename=Euston_railway_station&params=51.5284_N_-0.1331_E_type:railwaystation_region:GB-ENG,51.5284,-0.1331
QQW,"Waterloo station, London, United Kingdom","Gare de Waterloo, Londres, Angleterre, Royaume uni",Waterloo station,Gare de Waterloo,London,Londres,England,United Kingdom,http://en.wikipedia.org/wiki/London_Waterloo_station,http://tools.wmflabs.org/geohack/geohack.php?pagename=London_Waterloo_station&params=51.5031_N_-0.1132_E_type:railwaystation_region:GB-ENG,51.5031,-0.1132
QQY,"York railway station, York, Yorkshire, United Kingdom","Gare de York, York, Yorkshire, Angleterre, Royaume uni",York railway station,Gare de York,York,York,England,United Kingdom,http://en.wikipedia.org/wiki/York_railway_station,http://tools.wmflabs.org/geohack/geohack.php?pagename=York_railway_station&params=53.9583_N_-1.0930_E_type:railwaystation_region:GB-ENG_scale:10000,53.9583,-1.093
QRH,"Rotterdam Centraal railway station, Rotterdam, Netherlands","Gare de Rotterdam Central, Rotterdam, Pays-Bas",Rotterdam Centraal railway station,Gare de Rotterdam Central,Rotterdam,Rotterdam,,Netherlands,http://en.wikipedia.org/wiki/Rotterdam_Centraal_railway_station,http://tools.wmflabs.org/geohack/geohack.php?pagename=Rotterdam_Centraal_railway_station&params=51_55_28_N_4_28_10_E_type:railwaystation_region:NL,51.924444,4.469444
QXB,"Aix-en-Provence TGV railway station, Aix-en-Provence, France (same iata as Aix-les-milles airport)","Gare d'Aix-en-Provence TGV, Aix-en-Provence, France (même iata que l'aéroport d'Aix-les-milles)",Aix-en-Provence TGV railway station,Gare d'Aix-en-Provence TGV,Aix-en-Provence,Aix-en-Provence,Provence-Alpes-Côte d'Azur,France,http://en.wikipedia.org/wiki/Aix-en-Provence_TGV_railway_station,http://tools.wmflabs.org/geohack/geohack.php?pagename=Aix-en-Provence_TGV_railway_station&params=43_27_18_N_5_19_2_E_type:railwaystation_region:FR-U,43.455,5.317222,A
QXG,"Gare d'Angers-Saint-Laud, Saint-Laud, Angers, France","Gare d'Angers-Saint-Laud, Saint-Laud, Angers, France",Angers-Saint-Laud Railway station,Gare d'Angers-Saint-Laud,Angers,Angers,Pays de Loire,France,http://fr.wikipedia.org/wiki/Gare_d%27Angers-Saint-Laud,https://tools.wmflabs.org/geohack/geohack.php?pagename=Gare_d'Angers-Saint-Laud&params=47_27_53_N_0_33_22_W_type:railwaystation_region:FR-R,47.4647518,-0.5563559
QYG,collective code for all German railway stations,Code collectif pour toutes les gares d'Allemagne,collective code for all German railway stations,Code collectif pour toutes les gares d'Allemagne,,,,Germany,,,,
QYX,"Uppsala Central Station, Uppsala, Sweden","Gare d'Uppsala central, Uppsala, Suède",Uppsala Central Station,Gare d'Uppsala central,Uppsala,Uppsala,,Sweden,http://en.wikipedia.org/wiki/Uppsala_Central_Station,http://tools.wmflabs.org/geohack/geohack.php?pagename=Uppsala_Central_Station&params=59_51_31_N_17_38_46_E_region:SE_type:railwaystation,59.858611,17.646111
SEN,"Southend Airport railway station (SEN, ICAO: EGMC), London, United Kingdom","Gare de Southend-Airport, Londres, Angeterre, Royaume uni",London-Southend-Airport railway station,Gare de Londres Southend-Airport,London,Londres,England,United Kingdom,http://en.wikipedia.org/wiki/London_Southend_Airport,http://tools.wmflabs.org/geohack/geohack.php?pagename=London_Southend_Airport_Railway_Station&params=51_34_7_N_0_42_18_E_type:railwaystation_region:GB-ENG,51.568611,0.705,A
